"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76316022872925","4.39526987075806","4.71468019485474","4.79898023605347","4.87220001220703","","4.35698986053467","4.62321996688843","","4.70254993438721","4.82730007171631","5.79739999771118","6.75109004974365","5.91466999053955","6.3472900390625","6.44295978546143","5.85128021240234","5.88826990127563","5.49136018753052","4.45581996127504","4.54876355243615","4.43503686776957","","3.61855755636695","","","",
"Africa Eastern and Southern","AFE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","","","","","","","","","","","","","","3.88741993904114","3.60612988471985","4.34167003631591","","","3.74496006965637","3.85834002494812","3.7359299659729","","4.28008008003235","","4.02403008937836","4.63901452250474","4.6761200428009","4.63769446369719","4.65965986251831","4.73791868878759","4.69199991226196","4.4305100440979","4.73974990844727","4.51140984355031","4.0905654220699","4.36837948133246","3.69766802106406","3.96229304413263","",
"Afghanistan","AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4794499874115","3.4620099067688","2.60419988632202","3.45445990562439","3.69521999359131","3.2558000087738","4.54397010803223","4.34319019317627","","","","","","","",
"Africa Western and Central","AFW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34582495689392","2.46335005760193","2.36509990692139","2.34950494766236","2.35524988174439","2.24505507946014","2.44700491428375","2.55852007865906","","2.49827003479004","2.90790009498596","2.84803009033203","2.65336990356445","2.68840026027393","2.94020998477936","2.66667008399963","3.13882994651794","2.61503545891771","3.29662990570068","3.0512515196534","3.0473994932468","3.39874087928788","3.09692638090381","2.89168744551701","3.21562023947166","",
"Angola","AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","5.72269010543823","5.05850982666016","","","","","","","","","","","2.56712007522583","","2.60753011703491","","","","","2.12011003494263","2.28146004676819","","","","3.42131996154785","","3.08191085718142","4.43894951297476","","3.48689580393413","2.75493664582725","2.46687881104886","2.18351298946275","2.07306438181603","2.66744733689285","2.29719689513241","2.38535898416633","2.51273663315785","",
"Albania","ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44697999954224","3.81464004516602","3.08350992202759","3.37947010993958","3.53697991371155","3.59293007850647","3.4301700592041","3.45869994163513","3.11779999732971","3.13823008537292","3.22751998901367","3.28154993057251","3.1914598941803","3.27592992782593","","","","3.17881310743026","3.29533986928598","3.53929996490479","3.18177734553254","3.43796992301941","3.96209001541138","3.61172008514404","3.08201370407389","3.87018990516663","3.325040102005","3.00555992126465","2.72976994514465","3.09153008460998","",
"Andorra","AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71327996253967","","","","","1.65971004962921","","1.54411995410919","1.64497005939484","2.24489998817444","2.10469007492065","2.87392997741699","3.14292001724243","2.97662997245789","2.98706007003784","2.56577895521486","2.50616002082825","3.07420992851257","3.28034996986389","3.23707008361816","3.21708989143372","3.2467200756073","3.15060997009277","2.63213046553066","2.381921736037","2.64727997779846","1.89867997169495","",
"Arab World","ARB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67072010040283","","3.75997996330261","","4.22755002975464","","","","","","","","","","","3.42433500289917","3.76860740670194","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86020994186401","3.98417997360229","3.89403009414673","","","",
"Argentina","ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.4580899477005","","1.93620002269745","1.78051996231079","1.92351996898651","1.84360003471374","1.16563999652863","1.71984004974365","1.93554997444153","2.4002799987793","2.60715007781982","","1.59786999225616","1.61749994754791","2.56972002983093","1.36186003684998","1.261549949646","1.28229999542236","","1.04612004756927","1.06737995147705","","","","","","3.73198008537292","","4.03986978530884","4.52167987823486","4.58030986785889","4.833740234375","4.01734018325806","3.53504991531372","3.48652005195618","3.86000990867615","4.12821006774902","4.46260023117065","4.84440994262695","5.53105020523071","5.01971006393433","5.29062986373901","5.34582996368408","5.43661022186279","5.36144018173218","5.77611017227173","5.54548978805542","5.45431995391846","4.87773990631104","4.7716498374939","5.27689981460571","4.65393018722534","4.79263019561768","5.89754023690244","",
